,song_id,filename,genre_id,genre
0,10150,10150.wav,7,Instrumental
1,7358,7358.wav,2,Punk
2,20573,20573.wav,5,Folk
3,11170,11170.wav,12,Old-Time / Historic
4,16662,16662.wav,1,Rock
5,1019,1019.wav,1,Rock
6,11198,11198.wav,9,International
7,23169,23169.wav,6,Chiptune / Glitch
8,839,839.wav,9,International
9,22444,22444.wav,3,Experimental
10,16269,16269.wav,7,Instrumental
11,18844,18844.wav,8,Pop
12,12181,12181.wav,0,Electronic
13,17311,17311.wav,5,Folk
14,23275,23275.wav,7,Instrumental
15,13166,13166.wav,0,Electronic
16,6746,6746.wav,1,Rock
17,6501,6501.wav,1,Rock
18,12275,12275.wav,4,Hip-Hop
19,14620,14620.wav,9,International
20,16946,16946.wav,1,Rock
21,24102,24102.wav,3,Experimental
22,14132,14132.wav,8,Pop
23,7045,7045.wav,8,Pop
24,16076,16076.wav,0,Electronic
25,4056,4056.wav,9,International
26,4764,4764.wav,4,Hip-Hop
27,7446,7446.wav,7,Instrumental
28,9414,9414.wav,13,Jazz
29,15949,15949.wav,5,Folk
30,11939,11939.wav,3,Experimental
31,4742,4742.wav,7,Instrumental
32,12756,12756.wav,1,Rock
33,4131,4131.wav,3,Experimental
34,8430,8430.wav,0,Electronic
35,19408,19408.wav,5,Folk
36,5994,5994.wav,4,Hip-Hop
37,6268,6268.wav,2,Punk
38,19855,19855.wav,9,International
39,23036,23036.wav,6,Chiptune / Glitch
40,5121,5121.wav,11,Classical
41,13975,13975.wav,0,Electronic
42,21959,21959.wav,5,Folk
43,10740,10740.wav,10,Ambient Electronic
44,6345,6345.wav,1,Rock
45,21366,21366.wav,1,Rock
46,2464,2464.wav,0,Electronic
47,10319,10319.wav,0,Electronic
48,11524,11524.wav,0,Electronic
49,3700,3700.wav,2,Punk
50,15317,15317.wav,11,Classical
51,15947,15947.wav,12,Old-Time / Historic
52,2038,2038.wav,4,Hip-Hop
53,1749,1749.wav,0,Electronic
54,8593,8593.wav,1,Rock
55,2066,2066.wav,1,Rock
56,11090,11090.wav,3,Experimental
57,15664,15664.wav,1,Rock
58,18072,18072.wav,1,Rock
59,5464,5464.wav,0,Electronic
60,16365,16365.wav,0,Electronic
61,11373,11373.wav,1,Rock
62,2109,2109.wav,5,Folk
63,12600,12600.wav,3,Experimental
64,15915,15915.wav,4,Hip-Hop
65,23280,23280.wav,1,Rock
66,11376,11376.wav,1,Rock
67,12382,12382.wav,5,Folk
68,22774,22774.wav,2,Punk
69,22897,22897.wav,0,Electronic
70,16175,16175.wav,9,International
71,3763,3763.wav,7,Instrumental
72,16534,16534.wav,7,Instrumental
73,20365,20365.wav,1,Rock
74,1811,1811.wav,1,Rock
75,13080,13080.wav,0,Electronic
76,11765,11765.wav,3,Experimental
77,12744,12744.wav,3,Experimental
78,8417,8417.wav,0,Electronic
79,11968,11968.wav,2,Punk
80,24090,24090.wav,1,Rock
81,9288,9288.wav,8,Pop
82,2952,2952.wav,6,Chiptune / Glitch
83,21669,21669.wav,0,Electronic
84,19360,19360.wav,5,Folk
85,424,424.wav,1,Rock
86,1880,1880.wav,3,Experimental
87,21249,21249.wav,1,Rock
88,4566,4566.wav,0,Electronic
89,7851,7851.wav,0,Electronic
90,7694,7694.wav,7,Instrumental
91,6318,6318.wav,0,Electronic
92,1740,1740.wav,7,Instrumental
93,14635,14635.wav,0,Electronic
94,1859,1859.wav,6,Chiptune / Glitch
95,12667,12667.wav,11,Classical
96,3070,3070.wav,1,Rock
97,16036,16036.wav,0,Electronic
98,17596,17596.wav,2,Punk
99,14600,14600.wav,9,International
100,15921,15921.wav,0,Electronic
101,15794,15794.wav,0,Electronic
102,9249,9249.wav,7,Instrumental
103,3975,3975.wav,7,Instrumental
104,5240,5240.wav,9,International
105,20512,20512.wav,2,Punk
106,5455,5455.wav,9,International
107,22509,22509.wav,2,Punk
108,24136,24136.wav,4,Hip-Hop
109,3957,3957.wav,5,Folk
110,10900,10900.wav,2,Punk
111,9423,9423.wav,1,Rock
112,19957,19957.wav,10,Ambient Electronic
113,7999,7999.wav,1,Rock
114,9346,9346.wav,0,Electronic
115,14091,14091.wav,4,Hip-Hop
116,22252,22252.wav,2,Punk
117,17009,17009.wav,7,Instrumental
118,17130,17130.wav,1,Rock
119,3953,3953.wav,0,Electronic
120,17176,17176.wav,7,Instrumental
121,2426,2426.wav,17,Blues
122,18854,18854.wav,0,Electronic
123,19588,19588.wav,0,Electronic
124,12630,12630.wav,2,Punk
125,9817,9817.wav,2,Punk
126,10079,10079.wav,0,Electronic
127,8690,8690.wav,6,Chiptune / Glitch
128,12991,12991.wav,0,Electronic
129,8262,8262.wav,3,Experimental
130,15435,15435.wav,0,Electronic
131,24935,24935.wav,6,Chiptune / Glitch
132,9013,9013.wav,10,Ambient Electronic
133,24681,24681.wav,7,Instrumental
134,17775,17775.wav,7,Instrumental
135,16467,16467.wav,2,Punk
136,21617,21617.wav,13,Jazz
137,18198,18198.wav,6,Chiptune / Glitch
138,2137,2137.wav,7,Instrumental
139,17438,17438.wav,3,Experimental
140,3089,3089.wav,13,Jazz
141,6124,6124.wav,2,Punk
142,19539,19539.wav,3,Experimental
143,2297,2297.wav,11,Classical
144,24287,24287.wav,9,International
145,16300,16300.wav,9,International
146,15467,15467.wav,2,Punk
147,941,941.wav,1,Rock
148,12020,12020.wav,9,International
149,11817,11817.wav,2,Punk
150,22520,22520.wav,2,Punk
151,20094,20094.wav,5,Folk
152,18361,18361.wav,3,Experimental
153,16054,16054.wav,1,Rock
154,9349,9349.wav,13,Jazz
155,22775,22775.wav,9,International
156,9959,9959.wav,10,Ambient Electronic
157,2662,2662.wav,0,Electronic
158,10469,10469.wav,2,Punk
159,10757,10757.wav,2,Punk
160,2650,2650.wav,13,Jazz
161,10205,10205.wav,1,Rock
162,19652,19652.wav,8,Pop
163,19828,19828.wav,9,International
164,15824,15824.wav,5,Folk
165,24076,24076.wav,4,Hip-Hop
166,21024,21024.wav,12,Old-Time / Historic
167,12232,12232.wav,1,Rock
168,22650,22650.wav,8,Pop
169,20665,20665.wav,0,Electronic
170,23822,23822.wav,0,Electronic
171,23443,23443.wav,0,Electronic
172,3566,3566.wav,0,Electronic
173,9863,9863.wav,3,Experimental
174,3805,3805.wav,1,Rock
175,22032,22032.wav,3,Experimental
176,14956,14956.wav,3,Experimental
177,21489,21489.wav,6,Chiptune / Glitch
178,13118,13118.wav,1,Rock
179,8330,8330.wav,0,Electronic
180,21222,21222.wav,0,Electronic
181,23111,23111.wav,0,Electronic
182,14754,14754.wav,4,Hip-Hop
183,11668,11668.wav,9,International
184,23986,23986.wav,7,Instrumental
185,19475,19475.wav,13,Jazz
186,4607,4607.wav,3,Experimental
187,18248,18248.wav,10,Ambient Electronic
188,11448,11448.wav,0,Electronic
189,3579,3579.wav,2,Punk
190,11060,11060.wav,4,Hip-Hop
191,12446,12446.wav,9,International
192,5849,5849.wav,5,Folk
193,6258,6258.wav,2,Punk
194,18737,18737.wav,9,International
195,14023,14023.wav,0,Electronic
196,22613,22613.wav,2,Punk
197,21186,21186.wav,10,Ambient Electronic
198,8415,8415.wav,12,Old-Time / Historic
199,21958,21958.wav,3,Experimental
200,7324,7324.wav,0,Electronic
201,485,485.wav,10,Ambient Electronic
202,12486,12486.wav,1,Rock
203,3602,3602.wav,2,Punk
204,8486,8486.wav,0,Electronic
205,4303,4303.wav,6,Chiptune / Glitch
206,7625,7625.wav,13,Jazz
207,16166,16166.wav,3,Experimental
208,391,391.wav,0,Electronic
209,19807,19807.wav,8,Pop
210,24844,24844.wav,2,Punk
211,20292,20292.wav,0,Electronic
212,7758,7758.wav,8,Pop
213,17178,17178.wav,6,Chiptune / Glitch
214,2252,2252.wav,3,Experimental
215,3949,3949.wav,0,Electronic
216,7173,7173.wav,1,Rock
217,22452,22452.wav,1,Rock
218,2477,2477.wav,10,Ambient Electronic
219,18398,18398.wav,3,Experimental
220,17778,17778.wav,5,Folk
221,18352,18352.wav,2,Punk
222,6242,6242.wav,7,Instrumental
223,14787,14787.wav,0,Electronic
225,14491,14491.wav,9,International
226,18351,18351.wav,7,Instrumental
227,23179,23179.wav,6,Chiptune / Glitch
228,24550,24550.wav,1,Rock
229,17661,17661.wav,13,Jazz
230,452,452.wav,5,Folk
231,6153,6153.wav,0,Electronic
232,20582,20582.wav,0,Electronic
233,20715,20715.wav,0,Electronic
234,21610,21610.wav,8,Pop
235,2570,2570.wav,0,Electronic
236,5585,5585.wav,7,Instrumental
237,22407,22407.wav,7,Instrumental
238,1209,1209.wav,5,Folk
239,23269,23269.wav,0,Electronic
240,13957,13957.wav,4,Hip-Hop
241,9893,9893.wav,10,Ambient Electronic
242,17838,17838.wav,1,Rock
243,22885,22885.wav,4,Hip-Hop
244,9548,9548.wav,2,Punk
245,3993,3993.wav,2,Punk
246,11055,11055.wav,1,Rock
247,4782,4782.wav,2,Punk
248,9923,9923.wav,2,Punk
249,11774,11774.wav,0,Electronic
250,3455,3455.wav,4,Hip-Hop
251,4547,4547.wav,7,Instrumental
252,24530,24530.wav,2,Punk
253,23637,23637.wav,2,Punk
254,19612,19612.wav,5,Folk
255,4184,4184.wav,0,Electronic
256,12519,12519.wav,15,Soul-RnB
257,3886,3886.wav,2,Punk
258,1020,1020.wav,12,Old-Time / Historic
259,2519,2519.wav,14,Country
260,13889,13889.wav,2,Punk
261,1821,1821.wav,0,Electronic
262,24316,24316.wav,3,Experimental
263,17566,17566.wav,0,Electronic
264,15607,15607.wav,1,Rock
265,10666,10666.wav,5,Folk
266,18375,18375.wav,4,Hip-Hop
267,16831,16831.wav,0,Electronic
268,23745,23745.wav,6,Chiptune / Glitch
269,1890,1890.wav,7,Instrumental
270,21458,21458.wav,0,Electronic
271,19353,19353.wav,0,Electronic
272,1893,1893.wav,7,Instrumental
273,23918,23918.wav,5,Folk
274,19468,19468.wav,16,Spoken
275,20669,20669.wav,4,Hip-Hop
276,13364,13364.wav,5,Folk
277,15494,15494.wav,5,Folk
278,7406,7406.wav,10,Ambient Electronic
279,16986,16986.wav,13,Jazz
280,21900,21900.wav,2,Punk
281,7443,7443.wav,10,Ambient Electronic
282,2981,2981.wav,4,Hip-Hop
283,12718,12718.wav,7,Instrumental
284,11155,11155.wav,6,Chiptune / Glitch
285,13471,13471.wav,2,Punk
286,19634,19634.wav,5,Folk
287,15787,15787.wav,2,Punk
288,14312,14312.wav,2,Punk
289,11340,11340.wav,5,Folk
290,24462,24462.wav,7,Instrumental
291,10659,10659.wav,9,International
292,3811,3811.wav,7,Instrumental
293,22619,22619.wav,1,Rock
294,18832,18832.wav,2,Punk
295,70,70.wav,4,Hip-Hop
296,2623,2623.wav,6,Chiptune / Glitch
297,16731,16731.wav,5,Folk
298,21923,21923.wav,7,Instrumental
299,18685,18685.wav,2,Punk
300,22785,22785.wav,8,Pop
301,10154,10154.wav,0,Electronic
302,7388,7388.wav,4,Hip-Hop
303,7071,7071.wav,1,Rock
304,13972,13972.wav,3,Experimental
305,3950,3950.wav,1,Rock
306,17781,17781.wav,1,Rock
307,8411,8411.wav,3,Experimental
308,12605,12605.wav,13,Jazz
309,10392,10392.wav,9,International
310,10624,10624.wav,7,Instrumental
311,4092,4092.wav,11,Classical
312,17828,17828.wav,0,Electronic
313,9560,9560.wav,6,Chiptune / Glitch
314,15880,15880.wav,1,Rock
315,17591,17591.wav,11,Classical
316,8480,8480.wav,1,Rock
317,21236,21236.wav,6,Chiptune / Glitch
318,14555,14555.wav,3,Experimental
319,23460,23460.wav,4,Hip-Hop
320,13387,13387.wav,0,Electronic
321,16881,16881.wav,4,Hip-Hop
322,16062,16062.wav,1,Rock
323,18085,18085.wav,2,Punk
324,18630,18630.wav,6,Chiptune / Glitch
325,9116,9116.wav,2,Punk
326,21555,21555.wav,2,Punk
327,6063,6063.wav,4,Hip-Hop
328,14147,14147.wav,3,Experimental
329,6925,6925.wav,2,Punk
330,4167,4167.wav,8,Pop
331,6592,6592.wav,5,Folk
332,24403,24403.wav,5,Folk
333,309,309.wav,11,Classical
334,7113,7113.wav,3,Experimental
335,11635,11635.wav,4,Hip-Hop
336,19243,19243.wav,2,Punk
337,20976,20976.wav,1,Rock
338,33,33.wav,5,Folk
339,22927,22927.wav,2,Punk
340,621,621.wav,1,Rock
341,12247,12247.wav,2,Punk
342,17559,17559.wav,5,Folk
343,6221,6221.wav,0,Electronic
344,10726,10726.wav,4,Hip-Hop
345,24613,24613.wav,5,Folk
346,5431,5431.wav,7,Instrumental
347,10678,10678.wav,9,International
348,3196,3196.wav,7,Instrumental
349,8434,8434.wav,1,Rock
350,14306,14306.wav,3,Experimental
351,3280,3280.wav,15,Soul-RnB
352,15047,15047.wav,6,Chiptune / Glitch
353,1053,1053.wav,3,Experimental
354,17704,17704.wav,1,Rock
355,12595,12595.wav,2,Punk
356,13655,13655.wav,4,Hip-Hop
357,3581,3581.wav,0,Electronic
358,4316,4316.wav,8,Pop
359,24230,24230.wav,3,Experimental
360,13256,13256.wav,11,Classical
361,18157,18157.wav,2,Punk
362,22936,22936.wav,2,Punk
363,6602,6602.wav,1,Rock
364,10379,10379.wav,11,Classical
365,22946,22946.wav,2,Punk
366,19785,19785.wav,4,Hip-Hop
367,6653,6653.wav,4,Hip-Hop
368,8625,8625.wav,3,Experimental
369,10197,10197.wav,6,Chiptune / Glitch
370,4179,4179.wav,1,Rock
371,864,864.wav,8,Pop
372,13493,13493.wav,4,Hip-Hop
373,17084,17084.wav,6,Chiptune / Glitch
374,22145,22145.wav,2,Punk
375,24331,24331.wav,5,Folk
376,16551,16551.wav,6,Chiptune / Glitch
377,5781,5781.wav,7,Instrumental
378,4800,4800.wav,7,Instrumental
379,10028,10028.wav,7,Instrumental
380,6871,6871.wav,10,Ambient Electronic
381,7972,7972.wav,5,Folk
382,7142,7142.wav,5,Folk
383,24984,24984.wav,10,Ambient Electronic
384,7033,7033.wav,1,Rock
385,5311,5311.wav,2,Punk
386,22451,22451.wav,2,Punk
387,12197,12197.wav,6,Chiptune / Glitch
388,24308,24308.wav,14,Country
389,11425,11425.wav,1,Rock
390,370,370.wav,0,Electronic
391,10982,10982.wav,0,Electronic
392,20898,20898.wav,2,Punk
393,18797,18797.wav,9,International
394,20116,20116.wav,9,International
395,3002,3002.wav,4,Hip-Hop
396,15200,15200.wav,1,Rock
397,16832,16832.wav,4,Hip-Hop
398,20492,20492.wav,10,Ambient Electronic
399,907,907.wav,11,Classical
400,2364,2364.wav,7,Instrumental
401,14100,14100.wav,1,Rock
402,5390,5390.wav,3,Experimental
403,23566,23566.wav,6,Chiptune / Glitch
404,2719,2719.wav,3,Experimental
405,12016,12016.wav,11,Classical
406,1546,1546.wav,5,Folk
407,9436,9436.wav,10,Ambient Electronic
408,8599,8599.wav,9,International
409,13911,13911.wav,2,Punk
410,22186,22186.wav,4,Hip-Hop
411,13349,13349.wav,4,Hip-Hop
412,1362,1362.wav,0,Electronic
413,12317,12317.wav,0,Electronic
414,17338,17338.wav,6,Chiptune / Glitch
415,428,428.wav,2,Punk
416,2369,2369.wav,1,Rock
417,19771,19771.wav,10,Ambient Electronic
418,14247,14247.wav,2,Punk
419,1869,1869.wav,0,Electronic
420,11819,11819.wav,8,Pop
421,15626,15626.wav,4,Hip-Hop
422,132,132.wav,1,Rock
423,3604,3604.wav,13,Jazz
424,3518,3518.wav,14,Country
425,10059,10059.wav,12,Old-Time / Historic
426,11544,11544.wav,5,Folk
427,8179,8179.wav,1,Rock
428,13843,13843.wav,0,Electronic
429,23510,23510.wav,3,Experimental
430,6005,6005.wav,7,Instrumental
431,8407,8407.wav,4,Hip-Hop
432,17459,17459.wav,3,Experimental
433,2447,2447.wav,1,Rock
434,9666,9666.wav,11,Classical
435,18643,18643.wav,0,Electronic
436,1896,1896.wav,12,Old-Time / Historic
437,3714,3714.wav,3,Experimental
438,11232,11232.wav,10,Ambient Electronic
439,4978,4978.wav,5,Folk
440,14932,14932.wav,0,Electronic
441,4746,4746.wav,2,Punk
442,21735,21735.wav,1,Rock
443,6174,6174.wav,3,Experimental
444,8218,8218.wav,6,Chiptune / Glitch
445,10623,10623.wav,4,Hip-Hop
446,16479,16479.wav,2,Punk
447,20062,20062.wav,2,Punk
448,8076,8076.wav,2,Punk
449,22278,22278.wav,2,Punk
450,170,170.wav,5,Folk
451,15058,15058.wav,6,Chiptune / Glitch
452,24446,24446.wav,1,Rock
453,21983,21983.wav,2,Punk
454,24094,24094.wav,4,Hip-Hop
455,2410,2410.wav,9,International
456,4000,4000.wav,1,Rock
457,11062,11062.wav,1,Rock
